"moviename","year","duration","genre","ratings"
"1.Oppenheimer(2023)","(2023)","180min","Biography,Drama,History","8.8"
"2.Mission:Impossible-DeadReckoningPartOne(2023)","(2023)","163min","Action,Adventure,Thriller","8.0"
"3.GuardiansoftheGalaxyVol.3(2023)","(2023)","150min","Action,Adventure,Comedy","8.1"
"4.Spider-Man:AcrosstheSpider-Verse(2023)","(2023)","140min","Animation,Action,Adventure","8.9"
"5.Mission:Impossible-Fallout(2018)","(2018)","147min","Action,Adventure,Thriller","7.7"
"6.Interstellar(2014)","(2014)","169min","Adventure,Drama,Sci-Fi","8.7"
"7.JohnWick:Chapter4(2023)","(2023)","169min","Action,Crime,Thriller","7.8"
"8.PussinBoots:TheLastWish(2022)","(2022)","102min","Animation,Adventure,Comedy","7.9"
"9.TheDarkKnight(2008)","(2008)","152min","Action,Crime,Drama","9.0"
"10.Inception(2010)","(2010)","148min","Action,Adventure,Sci-Fi","8.8"
"11.Titanic(1997)","(1997)","194min","Drama,Romance","7.9"
"12.Dunkirk(2017)","(2017)","106min","Action,Drama,History","7.8"
"13.TopGun:Maverick(2022)","(2022)","130min","Action,Drama","8.3"
"14.Dune:PartOne(2021)","(2021)","155min","Action,Adventure,Drama","8.0"
"15.TheShawshankRedemption(1994)","(1994)","142min","Drama","9.3"
"16.TheBatman(2022)","(2022)","176min","Action,Crime,Drama","7.8"
"17.TheWolfofWallStreet(2013)","(2013)","180min","Biography,Comedy,Crime","8.2"
"18.ThePrestige(2006)","(2006)","130min","Drama,Mystery,Sci-Fi","8.5"
"19.RaidersoftheLostArk(1981)","(1981)","115min","Action,Adventure","8.4"
"20.TheGodfather(1972)","(1972)","175min","Crime,Drama","9.2"
"21.PulpFiction(1994)","(1994)","154min","Crime,Drama","8.9"
"22.Pride&Prejudice(2005)","(2005)","129min","Drama,Romance","7.8"
"23.EverythingEverywhereAllatOnce(2022)","(2022)","139min","Action,Adventure,Comedy","7.8"
"24.OnceUponaTimein...Hollywood(2019)","(2019)","161min","Comedy,Drama","7.6"
"25.Spider-Man:IntotheSpider-Verse(2018)","(2018)","117min","Animation,Action,Adventure","8.4"
"26.Memento(2000)","(2000)","113min","Mystery,Thriller","8.4"
"27.BladeRunner2049(2017)","(2017)","164min","Action,Drama,Mystery","8.0"
"28.HarryPotterandtheSorcerer'sStone(2001)","(2001)","152min","Adventure,Family,Fantasy","7.6"
"29.Jaws(1975)","(1975)","124min","Adventure,Mystery,Thriller","8.1"
"30.IndianaJonesandtheLastCrusade(1989)","(1989)","127min","Action,Adventure","8.2"
"31.TheDarkKnightRises(2012)","(2012)","164min","Action,Drama,Thriller","8.4"
"32.JurassicPark(1993)","(1993)","127min","Action,Adventure,Sci-Fi","8.2"
"33.TheWhale(2022)","(2022)","117min","Drama","7.7"
"34.InglouriousBasterds(2009)","(2009)","153min","Adventure,Drama,War","8.3"
"35.BatmanBegins(2005)","(2005)","140min","Action,Crime,Drama","8.2"
"36.LittleWomen(2019)","(2019)","135min","Drama,Romance","7.8"
"37.Spider-Man:NoWayHome(2021)","(2021)","148min","Action,Adventure,Fantasy","8.2"
"38.TheDeparted(2006)","(2006)","151min","Crime,Drama,Thriller","8.5"
"39.AlmostFamous(2000)","(2000)","122min","Adventure,Comedy,Drama","7.9"
"40.GuardiansoftheGalaxy(2014)","(2014)","121min","Action,Adventure,Comedy","8.0"
"41.Heat(1995)","(1995)","170min","Action,Crime,Drama","8.3"
"42.Prisoners(2013)","(2013)","153min","Crime,Drama,Mystery","8.1"
"43.Watchmen(2009)","(2009)","162min","Action,Drama,Mystery","7.6"
"44.NoCountryforOldMen(2007)","(2007)","122min","Crime,Drama,Thriller","8.2"
"45.TheLordoftheRings:TheFellowshipoftheRing(2001)","(2001)","178min","Action,Adventure,Drama","8.8"
"46.FightClub(1999)","(1999)","139min","Drama","8.8"
"47.Avengers:Endgame(2019)","(2019)","181min","Action,Adventure,Drama","8.4"
"48.Gladiator(2000)","(2000)","155min","Action,Adventure,Drama","8.5"
"49.DjangoUnchained(2012)","(2012)","165min","Drama,Western","8.4"
"50.Alien(1979)","(1979)","117min","Horror,Sci-Fi","8.5"